name	description	price	image_src
Картофель Фри	Вкусные, обжаренные в растительном фритюре и слегка посоленные палочки картофеля	67	https://eda.yandex/images/1387779/e6860d949709f6cf5625c8eaf79efcc2-450x300.jpeg
Яблочные дольки	Отборные, нарезанные дольками, свежие яблоки	55	https://eda.yandex/images/3807631/984be034d673a1333d0c9e5d6472f67b-450x300.jpeg
Морковные палочки	Отборная, нарезанная палочками, свежая морковка	55	https://eda.yandex/images/3525402/9fa7b10d49e82bd5cfef4c62aea11050-450x300.jpeg
Салфетка влажная		2	https://eda.yandex/images/1387779/a0ebce14f47a9f6bd1735032419afe30-450x300.jpeg
Салат овощной	Хрустящие листья салата Айсберг, сочные томаты черри и маслины	99	https://eda.yandex/images/3502490/b85dd762a1961fcd8d2738f3aaab1170-450x300.jpeg
Салат Цезарь	Хрустящие листья салата Айсберг, сочные томаты черри, ароматный тертый сыр пармезан и нежнейшие куриные стрипсы	149	https://eda.yandex/images/3583740/c6733e27657f7ee88eba4aec0c52bee6-450x300.jpeg
Салат Цезарь с креветками	Хрустящие листья салата Айсберг, сочные томаты черри, ароматный тертый сыр пармезан и жаренные креветки в панировке	229	https://eda.yandex/images/3784951/d1aa3065e2b92d03b297f11c4aec61eb-450x300.jpeg
Яблочное пюре Агуша	Фруктовое пюре	55	https://eda.yandex/images/3559865/7c145882b95bab8618f2d74a383305c7-450x300.png
Донат с ванильным кремом	Аромантый донат с нежной начинкой из ванильного крема, покрытый белой и шоколадной глазурью	89	https://eda.yandex/images/3491582/5369e2c6d5d09d45fea01197d21b10df-450x300.jpeg
Донат с шоколадным кремом	Нежный донат с шоколадно-кремовой начинкой, покрытый молочной и шоколадной глазурью	89	https://eda.yandex/images/1380157/dbb9463e3493ce5da13308d6d3929d0d-450x300.jpeg
Макфлурри Вишневый пирог	Мороженое из цельного молока, взбитое с сочным топпингом с натуральными кусочками вишни и кубиками мягкого шоколадного бисквита	125	https://eda.yandex/images/3559865/b0f8c9004feb06d11d22d361a723b579-450x300.jpeg
Макфлурри Де Люкс Карамельно-Шоколадное	Мороженое из натурального цельного молока, взбитое с добавкой сливочной помадки с вафельно-шоколадной крошкой	114	https://eda.yandex/images/3580810/ab5285d3671f3f02e9c2f648d5ca579b-450x300.jpeg
Макфлурри Де Люкс Клубнично-Шоколадное	Мороженое из натурального цельного молока, взбитое с клубничным наполнителем и с вафельно-шоколадной крошкой	114	https://eda.yandex/images/3774488/408c4398f72d235df63489569602314e-450x300.jpeg
Пирожок Лесная ягода	Пирожок Лесная ягода — горячий пирожок из слоеного теста с хрустящей корочкой и начинкой из ягод черники, малины, ежевики, клубники и смородины	59	https://eda.yandex/images/3813301/c32109afa8004d09b31bc54b091fa64b-450x300.png
Пирожок Вишневый	Обжаренный во фритюре пирожок со сладкой начинкой из вишни	52	https://eda.yandex/images/1380157/7b5ee9b3e84ba0c34480280354a1b188-450x300.jpeg
Салфетка влажная		2	https://eda.yandex/images/1387779/a0ebce14f47a9f6bd1735032419afe30-450x300.jpeg
Пирожок Клубника-Малина	Два горячих мини-пирожка из хрустящего теста с начинкой из ароматных ягод клубники и малины	-1	https://eda.yandex/images/3528285/09bc1dab0b47ddde32d1c7b7084f23bb-450x300.jpeg
Соус Терияки	Классический  солоновато-сладкий соус  Азиатской  кухни на основе соевого соуса	30	https://eda.yandex/images/1387779/b67e77b0ca42c29c3238704a22762f40-450x300.jpeg
Соус Чесночный	Пикантный соус с нежным сливочно-чесночным вкусом	30	https://eda.yandex/images/1380157/74ae9cfa41ba13b25818fda5df2b76b6-450x300.jpeg
Соус Сырный		30	https://eda.yandex/images/1368744/ddc1ca8e52e8ee5674214ef9cdd181fc-450x300.jpeg
Соус Кисло-Сладкий		30	https://eda.yandex/images/1380157/7f7ddfbbf1c27f0a169147665a992887-450x300.jpeg
Соус Барбекю		30	https://eda.yandex/images/1387779/e4ef5f4b7d55087baef2035214336fb8-450x300.jpeg
Соус Горчичный		30	https://eda.yandex/images/1387779/5d4a98f78bea9b63f8164b550ae7debd-450x300.jpeg
Соус Тысяча Островов		30	https://eda.yandex/images/1380298/ac236f6465b73f06b793668934163853-450x300.jpeg
Соус Сладкий Чили		30	https://eda.yandex/images/1380157/dc89c409a43b53ed68fc47421c6a3b6a-450x300.jpeg
Кетчуп		30	https://eda.yandex/images/1380298/3aac3ac9439ee29476251c277cf70ca9-450x300.jpeg
Соус Цезарь	Классическая заправка Цезарь с кислинкой лимона и сливочным вкусом	30	https://eda.yandex/images/3595381/e11a23077b6393044bcce864f052fceb-450x300.jpeg
Оливковое масло	Натуральное оливковое масло высшей категории со свежим ароматом и гармоничным вкусом идеально дополнит вкус салатов	30	https://eda.yandex/images/3595156/d019d2b7786404efe869aabe36267f78-450x300.jpeg
